G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
37,Thu Jan 6 2022,8:00p,,Box Score,@,Memphis Grizzlies,L,,88,118,7,30,L 2,
38,Sat Jan 8 2022,7:00p,,Box Score,,Orlando Magic,W,,97,92,8,30,W 1,
39,Mon Jan 10 2022,7:00p,,Box Score,,Utah Jazz,W,,126,116,9,30,W 2,
40,Tue Jan 11 2022,8:00p,,Box Score,@,Chicago Bulls,L,,87,133,9,31,L 1,
41,Fri Jan 14 2022,7:00p,,Box Score,,Toronto Raptors,W,,103,87,10,31,W 1,
42,Sun Jan 16 2022,1:00p,,Box Score,,Phoenix Suns,L,,108,135,10,32,L 1,
43,Tue Jan 18 2022,10:00p,,Box Score,@,Golden State Warriors,L,,86,102,10,33,L 2,
44,Wed Jan 19 2022,10:00p,,Box Score,@,Sacramento Kings,W,,133,131,11,33,W 1,
45,Fri Jan 21 2022,9:00p,,Box Score,@,Utah Jazz,L,,101,111,11,34,L 1,
46,Sun Jan 23 2022,8:00p,,Box Score,@,Denver Nuggets,L,,111,117,11,35,L 2,
47,Tue Jan 25 2022,7:00p,,Box Score,,Denver Nuggets,L,,105,110,11,36,L 3,
48,Fri Jan 28 2022,7:00p,,Box Score,@,Orlando Magic,L,,103,119,11,37,L 4,
49,Sun Jan 30 2022,6:00p,,Box Score,,Cleveland Cavaliers,W,,115,105,12,37,W 1,
50,Tue Feb 1 2022,7:00p,,Box Score,,New Orleans Pelicans,L,,101,111,12,38,L 1,
51,Thu Feb 3 2022,7:00p,,Box Score,,Minnesota Timberwolves,L,,117,128,12,39,L 2,
52,Fri Feb 4 2022,7:00p,,Box Score,,Boston Celtics,L,,93,102,12,40,L 3,
53,Sun Feb 6 2022,3:30p,,Box Score,@,Minnesota Timberwolves,L,,105,118,12,41,L 4,
54,Tue Feb 8 2022,8:30p,,Box Score,@,Dallas Mavericks,L,,86,116,12,42,L 5,
55,Thu Feb 10 2022,7:00p,,Box Score,,Memphis Grizzlies,L,,107,132,12,43,L 6,
56,Fri Feb 11 2022,7:00p,,Box Score,,Charlotte Hornets,L,,119,141,12,44,L 7,
57,Mon Feb 14 2022,7:00p,,Box Score,@,Washington Wizards,L,,94,103,12,45,L 8,
58,Wed Feb 16 2022,7:30p,,Box Score,@,Boston Celtics,W,,112,111,13,45,W 1,
59,Thu Feb 24 2022,7:00p,,Box Score,,Cleveland Cavaliers,W,,106,103,14,45,W 2,
60,Sat Feb 26 2022,12:00p,,Box Score,,Boston Celtics,L,,104,113,14,46,L 1,
61,Sun Feb 27 2022,7:00p,,Box Score,@,Charlotte Hornets,W,OT,127,126,15,46,W 1,
62,Tue Mar 1 2022,7:00p,,Box Score,@,Washington Wizards,L,,113,116,15,47,L 1,
63,Thu Mar 3 2022,7:30p,,Box Score,@,Toronto Raptors,W,,108,106,16,47,W 1,
64,Fri Mar 4 2022,7:00p,,Box Score,,Indiana Pacers,W,,111,106,17,47,W 2,
65,Mon Mar 7 2022,7:00p,,Box Score,,Atlanta Hawks,W,OT,113,110,18,47,W 3,
66,Wed Mar 9 2022,7:00p,,Box Score,,Chicago Bulls,L,,108,114,18,48,L 1,
67,Fri Mar 11 2022,7:30p,,Box Score,@,Boston Celtics,L,,103,114,18,49,L 2,
68,Sun Mar 13 2022,3:00p,,Box Score,,Los Angeles Clippers,L,,102,106,18,50,L 3,
69,Tue Mar 15 2022,7:30p,,Box Score,@,Miami Heat,L,,98,105,18,51,L 4,
70,Thu Mar 17 2022,7:00p,,Box Score,@,Orlando Magic,W,,134,120,19,51,W 1,
71,Sat Mar 19 2022,8:00p,,Box Score,@,Cleveland Cavaliers,L,,109,113,19,52,L 1,
72,Mon Mar 21 2022,7:00p,,Box Score,,Portland Trail Blazers,L,,115,119,19,53,L 2,
73,Wed Mar 23 2022,7:00p,,Box Score,,Atlanta Hawks,W,,122,101,20,53,W 1,
74,Fri Mar 25 2022,7:00p,,Box Score,,Washington Wizards,L,,97,100,20,54,L 1,
75,Sun Mar 27 2022,3:30p,,Box Score,,New York Knicks,L,,102,104,20,55,L 2,
76,Tue Mar 29 2022,7:30p,,Box Score,@,Brooklyn Nets,L,,123,130,20,56,L 3,
77,Thu Mar 31 2022,7:00p,,Box Score,,Philadelphia 76ers,W,,102,94,21,56,W 1,
78,Fri Apr 1 2022,8:00p,,Box Score,@,Oklahoma City Thunder,W,,110,101,22,56,W 2,
79,Sun Apr 3 2022,5:00p,,Box Score,@,Indiana Pacers,W,,121,117,23,56,W 3,
80,Wed Apr 6 2022,7:00p,,Box Score,,Dallas Mavericks,L,,113,131,23,57,L 1,
81,Fri Apr 8 2022,7:00p,,Box Score,,Milwaukee Bucks,L,,101,131,23,58,L 2,
82,Sun Apr 10 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,106,118,23,59,L 3,
